UPRN,X_COORDINATE,Y_COORDINATE,LATITUDE,LONGITUDE
22210142,530996.0,104436.0,50.8246478,-0.1414819
22210175,527746.0,105820.0,50.8378127,-0.1871182
22210239,530021.0,104231.0,50.8230247,-0.1553898
22210246,530054.0,106361.0,50.8421618,-0.1541667
22210324,529199.0,104902.0,50.8292395,-0.1668173
22210904,531493.0,104773.0,50.8275641,-0.1343088
22211434,532155.0,104826.0,50.8278899,-0.1248955
22211700,530431.0,104229.0,50.8229147,-0.1495728
22211750,530786.0,104569.0,50.8258906,-0.1444144
22211767,531430.0,104872.0,50.8284682,-0.1351673
22211787,535954.0,105021.0,50.8287637,-0.0709139
22211794,532341.0,104205.0,50.8222661,-0.12248
22211901,532305.0,104267.0,50.8228316,-0.1229684
22211902,532340.0,104229.0,50.8224821,-0.1224855
22211903,532341.0,104249.0,50.8226616,-0.1224641
22211918,532296.0,104244.0,50.8226269,-0.1231044
22212054,530691.0,104322.0,50.823692,-0.1458505
22212126,525537.0,106513.0,50.8445241,-0.2182365
22212150,534441.0,108236.0,50.8580117,-0.0912059
22212255,530221.0,108525.0,50.8615736,-0.1510269
22212258,530266.0,108686.0,50.8630105,-0.1503306
22212361,532632.0,103703.0,50.8176878,-0.1185324
22212401,532790.0,106814.0,50.8456123,-0.1151649
22212412,531038.0,104169.0,50.8222385,-0.1409813
22212429,530848.0,104212.0,50.8226679,-0.1436619
22212556,529745.0,104629.0,50.8266638,-0.1591654
22212645,528138.0,105786.0,50.8374206,-0.181566
22212711,525567.0,105737.0,50.8375428,-0.2180762
22212808,533863.0,103198.0,50.8128661,-0.1012518
22212878,530224.0,104081.0,50.821631,-0.1525626
22212900,528494.0,105491.0,50.8346902,-0.1766162
22212940,532079.0,109096.0,50.8662847,-0.1244359
22213062,533657.0,109726.0,50.8715847,-0.1017948
22213124,530316.0,104295.0,50.8235337,-0.1511812
22213348,537001.0,102631.0,50.8070375,-0.0569486
22213359,533478.0,107730.0,50.8536868,-0.1050646
22213405,530618.0,104170.0,50.8223423,-0.1469404
22213494,532554.0,103885.0,50.8193414,-0.1195733
22213583,531585.0,106031.0,50.83885,-0.1325522
22213837,530736.0,104311.0,50.823583,-0.1452159
22213842,530235.0,104143.0,50.8221858,-0.1523845
